"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000147689.16",6267.64484960182,6.79031989779441,0.236475711705912,28.7146610060278,2.50331324099392e-181,8.99440447489117e-177,"FAM83A"
"ENSG00000183010.17",3615.72504151403,3.68518798194868,0.132814776919919,27.7468220585927,1.90333226209362e-169,3.4193364088512e-165,"PYCR1"
"ENSG00000165312.6",1100.30823362134,-2.12051365182044,0.0811548452955098,-26.1292304125403,1.69743387482339e-150,2.03295997074681e-146,"OTUD1"
"ENSG00000272620.2",2787.08361506128,6.30354281593101,0.256906347955352,24.5363451160284,6.0502554716398e-133,5.43464197740045e-129,"AFAP1-AS1"
"ENSG00000116016.14",27013.1462286784,-2.72432395512274,0.111276506717556,-24.4824719564362,2.27073935537216e-132,1.63175330077043e-128,"EPAS1"
"ENSG00000135604.10",805.432377051395,-3.06928632792916,0.125693408029806,-24.4188329049151,1.07910375839685e-131,6.46203300653314e-128,"STX11"
"ENSG00000235387.5",65.1436798144667,-2.72183871462348,0.111638970417112,-24.3807221121262,2.73897136782086e-131,1.40587487494005e-127,"SPAAR"
"ENSG00000261371.6",11822.8685611655,-2.32197130212773,0.0955490436649374,-24.3013557547494,1.89668310293471e-130,8.51847798605553e-127,"PECAM1"
"ENSG00000175832.13",1981.63815566495,3.84939899723973,0.159301680639333,24.1642083234197,5.29427382876688e-129,2.11359176297327e-125,"ETV4"
"ENSG00000162062.15",267.552132600109,3.51241809789438,0.146004283119943,24.0569524594626,7.06021281200206e-128,2.53673446335234e-124,"TEDC2"
"ENSG00000183856.11",1349.65469668539,3.60927640495664,0.150765042552913,23.9397432179274,1.18175474431548e-126,3.86004072393228e-123,"IQGAP3"
"ENSG00000131747.15",5332.17584239389,3.86345710484015,0.162031149196682,23.8439159630379,1.17104991508861e-125,3.50631862076113e-122,"TOP2A"
"ENSG00000170989.10",1757.57391091696,-2.85840349676814,0.120358573705824,-23.7490642233311,1.12347448944731e-124,3.10511064660321e-121,"S1PR1"
